Date,Open,High,Low,Close,Adj Close,Volume
2013-11-27,160.789993,160.940002,160.410004,160.850006,143.775238,6272800
2013-11-29,161.110001,161.580002,160.580002,160.720001,143.659012,2887900
2013-12-02,160.759995,160.839996,159.710007,159.919998,142.944000,5655700
2013-12-03,159.229996,159.619995,158.460007,158.990005,142.112701,8660700
2013-12-04,158.460007,159.520004,157.830002,158.759995,141.907043,7138200
2013-12-05,158.449997,158.889999,158.009995,158.119995,141.334946,5823000
2013-12-06,159.529999,160.179993,159.130005,160.160004,143.158417,6345300
2013-12-09,160.289993,160.529999,160.110001,160.229996,143.221024,3967700
2013-12-10,159.770004,160.190002,159.639999,159.720001,142.765167,4047600
2013-12-11,159.839996,159.899994,158.229996,158.309998,141.504822,7906700
2013-12-12,158.210007,158.429993,157.070007,157.470001,140.754059,7078700
2013-12-13,157.539993,157.970001,157.100006,157.649994,140.914917,8886500
2013-12-16,158.369995,159.369995,158.250000,158.899994,142.032196,7076500
2013-12-17,159.270004,159.289993,158.389999,158.779999,141.924957,6001100
2013-12-18,159.160004,161.789993,158.110001,161.759995,144.588623,15330700
2013-12-19,161.479996,162.009995,161.279999,161.880005,144.695862,8018300
2013-12-20,161.619995,162.529999,161.610001,162.009995,145.165909,7978200
2013-12-23,162.570007,162.850006,162.330002,162.619995,145.712509,4992800
2013-12-24,162.720001,163.259995,162.589996,163.160004,146.196381,2462000
2013-12-26,163.600006,164.490005,163.580002,164.460007,147.361237,4971600
2013-12-27,164.759995,164.919998,164.220001,164.470001,147.370163,6176900
2013-12-30,164.550003,164.679993,164.399994,164.589996,147.477753,4043600
2013-12-31,164.940002,165.509995,164.809998,165.470001,148.266220,5667800
2014-01-02,164.789993,165.009995,163.839996,164.110001,147.047577,9291100
2014-01-03,164.399994,164.869995,164.039993,164.389999,147.298431,6127600
2014-01-06,164.990005,165.059998,163.710007,163.889999,146.850449,7446800
2014-01-07,164.660004,165.289993,164.520004,164.970001,147.818146,5387200
2014-01-08,164.699997,164.830002,163.910004,164.350006,147.262680,9461800
2014-01-09,164.949997,164.990005,163.520004,164.190002,147.119247,8212900
2014-01-10,164.559998,164.690002,163.520004,164.179993,147.110291,7497200
2014-01-13,163.899994,164.279999,162.139999,162.240005,145.372009,10676100
2014-01-14,162.740005,163.470001,162.369995,163.449997,146.456238,7335400
2014-01-15,163.660004,164.800003,163.589996,164.570007,147.459747,7780800
2014-01-16,164.220001,164.330002,163.520004,163.979996,146.931091,5170900
2014-01-17,163.789993,164.589996,163.610001,164.080002,147.140320,8013200
2014-01-21,165.029999,165.050003,162.789993,163.729996,146.826477,9675200
2014-01-22,163.759995,163.800003,162.990005,163.470001,146.593369,5418100
2014-01-23,162.429993,162.429993,161.070007,161.710007,145.015030,9456000
2014-01-24,160.710007,160.889999,158.479996,158.479996,142.118439,14663200
2014-01-27,158.710007,159.110001,157.509995,158.020004,141.706009,14215300
2014-01-28,158.470001,159.169998,158.279999,158.940002,142.530960,8308000
2014-01-29,157.660004,158.250000,156.750000,157.100006,140.880920,14271200
2014-01-30,158.300003,158.770004,157.369995,158.169998,141.840469,7864700
2014-01-31,156.229996,157.699997,155.850006,156.750000,140.567093,10693100
2014-02-03,156.570007,156.759995,153.250000,153.529999,137.679489,18172800
2014-02-04,153.949997,154.529999,153.259995,154.080002,138.172760,11853400
2014-02-05,153.720001,154.509995,153.119995,154.179993,138.262390,11603200
2014-02-06,154.699997,156.149994,154.699997,156.139999,140.020096,10426200
2014-02-07,156.559998,157.800003,156.050003,157.779999,141.490753,11528500
2014-02-10,157.759995,157.820007,157.130005,157.750000,141.463882,4790700
2014-02-11,158.059998,160.089996,157.940002,159.759995,143.266312,7620400
2014-02-12,160.000000,160.449997,159.339996,159.710007,143.221512,5249600
2014-02-13,158.660004,160.470001,158.610001,160.289993,143.741623,5085000
2014-02-14,160.080002,161.830002,159.899994,161.589996,144.907425,5824400
2014-02-18,161.699997,161.759995,161.130005,161.410004,144.746002,4966400
2014-02-19,161.020004,162.339996,160.380005,160.520004,143.947800,8245400
2014-02-20,160.559998,161.720001,160.100006,161.309998,144.656311,7035600
2014-02-21,161.080002,161.619995,160.619995,160.809998,144.597519,5268200
2014-02-24,161.020004,162.690002,160.970001,161.660004,145.361832,6704400
2014-02-25,161.740005,162.240005,161.130005,161.500000,145.217987,6067800
2014-02-26,161.710007,162.259995,161.270004,161.839996,145.523636,5032900
2014-02-27,161.639999,162.559998,161.369995,162.550003,146.162048,5292500
2014-02-28,162.559998,163.770004,162.009995,163.020004,146.584671,10010400
2014-03-03,161.589996,162.190002,160.490005,161.490005,145.209000,9144400
2014-03-04,163.130005,164.000000,163.050003,163.630005,147.133209,7947500
2014-03-05,163.779999,163.820007,163.210007,163.350006,146.881393,4968400
2014-03-06,163.820007,164.309998,163.759995,164.089996,147.546844,4651800
